customer_id_hash,date_registered,gender,job,employer,credit_card_provider,email_domain,age_group,salary_bracket
cf96b84be95602a01d470fef6c5775ae9b187421e24906fae66b03933a7d822f,2021-09-29,M,Chief Technology Officer,"Byrd, Welch and Holt",VISA 19 digit,hotmail.com,45-54,50k-100k
389c7185edc98f251ac1235788b66a03b1e394dddffd240bd1875859b6be4aa4,2019-08-17,F,Data scientist,Hurst PLC,Discover,hotmail.com,35-44,50k-100k
7a9394657a1fcbe2a525e5f8f3add3329bb0022e39eb190c7c3ba02d50a5d7ae,2019-11-01,M,Chief Operating Officer,"Mora, Caldwell and Guerrero",VISA 16 digit,gmail.com,45-54,200k+
511d9da9211917b4c3f23ed14854d350edcbfe3a4b48f797f7af4015275e21c6,2021-12-31,F,Counselling psychologist,Patel PLC,VISA 16 digit,gmail.com,25-34,100k-150k
9535dcb56772ba94bea4e23b547c522ae4c667022c07e997a45097daf0e8bc06,2020-08-09,F,Mining engineer,Smith-Mejia,JCB 16 digit,hotmail.com,55-64,100k-150k
94293f1d5c5a9914290daeb4d360c81f83adc5cd608fdcae42baf1f59f9cc8fd,2021-12-29,M,Civil Service administrator,"Wolf, Perez and Bryant",American Express,hotmail.com,45-54,<50k
b5a2fb7872e822fe010ca9694656f8a39a55f50334651a148a7f93263594b340,2019-09-13,F,Fast food restaurant manager,"Kim, Lucero and Brown",JCB 16 digit,gmail.com,55-64,150k-200k
782440d2a5eb66704c3b7c81c44aca9e21330a98b8489b9eee632c9e48f707ac,2021-10-06,F,"Editor, magazine features",Chavez-Patterson,Diners Club / Carte Blanche,yahoo.com,45-54,50k-100k
fc2c458dc0732e51ef14c3709743b6905052ae0e732c77341910f309bd99a6c4,2021-11-01,F,Patent examiner,Watson-Park,VISA 19 digit,gmail.com,65+,150k-200k
1153f50786940322f56f116c8e74c69a988886b4f0c7d67f2ba011230a277a79,2020-04-01,F,Sports coach,Forbes-Richards,VISA 19 digit,gmail.com,18-24,50k-100k
549d1f75a0f5bb9bca0380490cf3b50aeded741df343aff89e602d897176f70e,2021-08-21,M,Claims inspector/assessor,Cummings-Clayton,Mastercard,hotmail.com,45-54,50k-100k
3d69b1b96a98dba0105841356453a27f83246491eb54b84e7b069cda7ef708ab,2021-08-22,F,Comptroller,Jordan-Webb,Discover,gmail.com,35-44,100k-150k
bba0ccc9e98308994e3fd525f089244a590a6d244ab2201c7cce90ae6b615ec2,2019-07-18,M,Building control surveyor,"Porter, Espinoza and Osborne",Diners Club / Carte Blanche,gmail.com,55-64,50k-100k
48c90aec1b3b7d61c79b09b6650274bb12989dd32a002f75c897945f12005c18,2020-07-01,M,Operations geologist,"Mcdonald, Lucero and Lewis",VISA 19 digit,yahoo.com,25-34,50k-100k
1748c4e3ca753cf9337d07ffb13d1550d9a02d78a2442535565428e3031a9fb7,2022-05-09,M,Passenger transport manager,Fitzpatrick and Sons,American Express,gmail.com,55-64,100k-150k
67270a3feb806ed9985a8af7f144454b0be9e0c6adeb5a8a6512a9df26a0e028,2022-06-21,F,Commissioning editor,"Clark, Giles and Bennett",JCB 15 digit,gmail.com,25-34,100k-150k
9a803303032d1e607a336492a40accbc5cfb9aaebd0bf982c0188538aa285b53,2019-08-24,F,Company secretary,"Brown, Goodman and Thompson",JCB 16 digit,hotmail.com,45-54,50k-100k
6362768a45a8c4620fe41f9b2cdc88d6d9f077f6890f97f85bc7307ba13aead7,2021-08-18,F,Pensions consultant,Thompson Group,VISA 19 digit,gmail.com,45-54,<50k
e30914750131e98d30ffeb2e28be1c1669dff91d79acc04bac442274733aac9b,2020-04-25,M,English as a foreign language teacher,Curry Inc,Discover,yahoo.com,35-44,200k+
bf2daf1a2b4da7a87dda7d4d5fda26889fa75fec1a5a6921f858187c24079081,2019-10-14,M,"Surveyor, mining","Stevens, Torres and Baldwin",JCB 16 digit,hotmail.com,35-44,150k-200k
